Date,Price
2015-12-14,1060.83
2015-12-13,1059.56
2015-12-10,1074.74
2015-12-09,1070.57
2015-12-08,1072.51
2015-12-07,1074.65
2015-12-06,1071.14
2015-12-03,1086.89
2015-12-02,1062.05
2015-12-01,1053.54
2015-11-30,1069.19
2015-11-29,1063.34
2015-11-26,1059.98
2015-11-25,1071.52
2015-11-24,1070.95
2015-11-23,1075.55
2015-11-22,1069.09
2015-11-19,1078.13
2015-11-18,1082.12
2015-11-17,1070.54
2015-11-16,1070.11
2015-11-15,1082.63
2015-11-12,1083.66
2015-11-11,1085.18
2015-11-10,1086.28
2015-11-09,1089.69
2015-11-08,1092.22
2015-11-05,1088.83
2015-11-04,1103.75
2015-11-03,1107.84
2015-11-02,1117.65
2015-11-01,1133.37
2015-10-29,1142.03
2015-10-28,1145.86
2015-10-27,1155.97
2015-10-26,1166.58
2015-10-25,1162.9
2015-10-22,1164.45
2015-10-21,1165.61
2015-10-20,1167.05
2015-10-19,1175.93
2015-10-18,1170.69
2015-10-15,1177.34
2015-10-14,1183.06
2015-10-13,1184.17
2015-10-12,1168.63
2015-10-11,1163.61
2015-10-08,1156.79
2015-10-07,1138.92
2015-10-06,1145.43
2015-10-05,1146.99
2015-10-04,1135.65
2015-10-01,1138.75
2015-09-30,1113.53
2015-09-29,1114.93
2015-09-28,1127.24
2015-09-27,1131.85
2015-09-24,1145.64
2015-09-23,1153.9
2015-09-22,1130.12
2015-09-21,1124.67
2015-09-20,1133.32
2015-09-17,1139.12
2015-09-16,1131.33
2015-09-15,1119.45
2015-09-14,1105.1
2015-09-13,1108.84
2015-09-10,1107.64
2015-09-09,1110.71
2015-09-08,1107.61
2015-09-07,1121.55
2015-09-06,1119.28
2015-09-03,1122.32
2015-09-02,1125.04
2015-09-01,1133.94
2015-08-31,1140.1
2015-08-30,1134.84
2015-08-27,1134.1
2015-08-26,1124.75
2015-08-25,1125.12
2015-08-24,1140.53
2015-08-23,1155.02
2015-08-20,1160.71
2015-08-19,1151.9
2015-08-18,1133.92
2015-08-17,1117.56
2015-08-16,1117.47
2015-08-13,1115.02
2015-08-12,1115.08
2015-08-11,1124.42
2015-08-10,1108.89
2015-08-09,1104.39
2015-08-06,1094.16
2015-08-05,1089.44
2015-08-04,1084.92
2015-08-03,1087.62
2015-08-02,1086.69
2015-07-30,1095.58
2015-07-29,1088.46
2015-07-28,1096.9
2015-07-27,1095.14
2015-07-26,1093.98
2015-07-23,1099.21
2015-07-22,1090.48
2015-07-21,1094.11
2015-07-20,1100.89
2015-07-19,1096.41
2015-07-16,1134.27
2015-07-15,1145.31
2015-07-14,1149.45
2015-07-13,1155.99
2015-07-12,1157.9
2015-07-09,1163.67
2015-07-08,1159.14
2015-07-07,1157.93
2015-07-06,1154.96
2015-07-05,1170.22
2015-07-02,1168.68
2015-07-01,1166.14
2015-06-30,1168.48
2015-06-29,1172.17
2015-06-28,1179.76
2015-06-25,1175.31
2015-06-24,1173.02
2015-06-23,1175.27
2015-06-22,1178.53
2015-06-21,1185.89
2015-06-18,1200.26
2015-06-17,1201.75
2015-06-16,1185.54
2015-06-15,1181.96
2015-06-14,1186.28
2015-06-11,1181.54
2015-06-10,1181.85
2015-06-09,1185.82
2015-06-08,1176.77
2015-06-07,1174
2015-06-04,1171.63
2015-06-03,1176.74
2015-06-02,1185.02
2015-06-01,1192.87
2015-05-31,1189.09
2015-05-28,1190.52
2015-05-27,1188.06
2015-05-26,1187.79
2015-05-25,1187.11
2015-05-24,1206.9
2015-05-21,1206.37
2015-05-20,1206.17
2015-05-19,1209.69
2015-05-18,1207.69
2015-05-17,1225.37
2015-05-14,1223.95
2015-05-13,1220.97
2015-05-12,1215.64
2015-05-11,1193.9
2015-05-10,1183.92
2015-05-07,1188.59
2015-05-06,1184.42
2015-05-05,1192.07
2015-05-04,1193.22
2015-05-03,1188.27
2015-04-30,1178.33
2015-04-29,1184.14
2015-04-28,1204.7
2015-04-27,1212.05
2015-04-26,1201.94
2015-04-23,1179.29
2015-04-22,1193.71
2015-04-21,1186.68
2015-04-20,1202.07
2015-04-19,1195.39
2015-04-16,1204.47
2015-04-15,1198.3
2015-04-14,1202.28
2015-04-13,1192.41
2015-04-12,1198.55
2015-04-09,1207.44
2015-04-08,1194.54
2015-04-07,1202.16
2015-04-06,1208.91
2015-04-05,1214.48
2015-04-01,1202.6
2015-03-31,1203.9
2015-03-30,1183.48
2015-03-29,1186
2015-03-26,1198.42
2015-03-25,1204.7
2015-03-24,1195.14
2015-03-23,1193.07
2015-03-22,1189.5
2015-03-19,1182.18
2015-03-18,1170.83
2015-03-17,1167.62
2015-03-16,1149.41
2015-03-15,1154.52
2015-03-12,1157.82
2015-03-11,1153.55
2015-03-10,1155.13
2015-03-09,1161.73
2015-03-08,1167.21
2015-03-05,1167.26
2015-03-04,1198.24
2015-03-03,1200.16
2015-03-02,1203.56
2015-03-01,1206.87
2015-02-26,1213.01
2015-02-25,1209.26
2015-02-24,1204.95
2015-02-23,1199.98
2015-02-22,1201.46
2015-02-19,1201.79
2015-02-18,1206.56
2015-02-17,1212.18
2015-02-16,1209.45
2015-02-15,1231.28
2015-02-12,1229.45
2015-02-11,1221.56
2015-02-10,1218.71
2015-02-09,1233.32
2015-02-08,1238.67
2015-02-05,1232.8
2015-02-04,1264.41
2015-02-03,1269.12
2015-02-02,1260.03
2015-02-01,1273.98
2015-01-29,1283.18
2015-01-28,1256.89
2015-01-27,1284.17
2015-01-26,1291.8
2015-01-25,1280.98
2015-01-22,1293.89
2015-01-21,1302.1
2015-01-20,1292.72
2015-01-19,1294.98
2015-01-18,1276.43
2015-01-15,1280.11
2015-01-14,1262.17
2015-01-13,1228.5
2015-01-12,1230.14
2015-01-11,1232.95
2015-01-08,1222.63
2015-01-07,1208.57
2015-01-06,1211.3
2015-01-05,1218.29
