Date,Price
05/31/15,1189.09
05/28/15,1190.52
05/27/15,1188.06
05/26/15,1187.79
05/25/15,1187.11
05/24/15,1206.9
05/21/15,1206.37
05/20/15,1206.17
05/19/15,1209.69
05/18/15,1207.69
05/17/15,1225.37
05/14/15,1223.95
05/13/15,1220.97
05/12/15,1215.64
05/11/15,1193.9
05/10/15,1183.92
05/07/15,1188.59
05/06/15,1184.42
05/05/15,1192.07
05/04/15,1193.22
05/03/15,1188.27
04/30/15,1178.33
04/29/15,1184.14
04/28/15,1204.7
04/27/15,1212.05
04/26/15,1201.94
04/23/15,1179.29
04/22/15,1193.71
04/21/15,1186.68
04/20/15,1202.07
04/19/15,1195.39
04/16/15,1204.47
04/15/15,1198.3
04/14/15,1202.28
04/13/15,1192.41
04/12/15,1198.55
04/09/15,1207.44
04/08/15,1194.54
04/07/15,1202.16
04/06/15,1208.91
04/05/15,1214.48
04/01/15,1202.6
03/31/15,1203.9
03/30/15,1183.48
03/29/15,1186
03/26/15,1198.42
03/25/15,1204.7
03/24/15,1195.14
03/23/15,1193.07
03/22/15,1189.5
03/19/15,1182.18
03/18/15,1170.83
03/17/15,1167.62
03/16/15,1149.41
03/15/15,1154.52
03/12/15,1157.82
03/11/15,1153.55
03/10/15,1155.13
03/09/15,1161.73
03/08/15,1167.21
03/05/15,1167.26
03/04/15,1198.24
03/03/15,1200.16
03/02/15,1203.56
03/01/15,1206.87
02/26/15,1213.01
02/25/15,1209.26
02/24/15,1204.95
02/23/15,1199.98
02/22/15,1201.46
02/19/15,1201.79
02/18/15,1206.56
02/17/15,1212.18
02/16/15,1209.45
02/15/15,1231.28
02/12/15,1229.45
02/11/15,1221.56
02/10/15,1218.71
02/09/15,1233.32
02/08/15,1238.67
02/05/15,1232.8
02/04/15,1264.41
02/03/15,1269.12
02/02/15,1260.03
02/01/15,1273.98
01/29/15,1283.18
01/28/15,1256.89
01/27/15,1284.17
01/26/15,1291.8
01/25/15,1280.98
01/22/15,1293.89
01/21/15,1302.1
01/20/15,1292.72
01/19/15,1294.98
01/18/15,1276.43
01/15/15,1280.11
01/14/15,1262.17
01/13/15,1228.5
01/12/15,1230.14
01/11/15,1232.95
01/08/15,1222.63
01/07/15,1208.57
01/06/15,1211.3
01/05/15,1218.29
